,brand,model,category,id
0,BMW,BMW 320IA 2.0 TURBO/ACTIVEFLEX 16V 184CV  4P,Sedã,1
1,VW - VOLKSWAGEN,VW - VOLKSWAGEN POLO HIGHLINE 200 TSI 1.0 FLEX 12V AUT.,Passeio,2
2,GM - CHEVROLET,GM - CHEVROLET TRACKER 2.0 16V 128CV MPFI 4X4 5P,SUV,3
3,HYUNDAI,HYUNDAI HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,Hatch,4
4,GM - CHEVROLET,GM - CHEVROLET EQUINOX PREMIER 1.5 TURBO 172CV AUT,SUV,5
5,JEEP,JEEP RENEGADE SPORT 1.8 4X2 FLEX 16V AUT.,SUV,6
6,GM - CHEVROLET,GM - CHEVROLET PRISMA SED. JOY/ LS 1.0 8V FLEXPOWER 4P,Sedã,7
7,TOYOTA,TOYOTA HILUX CD SRV 4X4 2.8 TDI DIESEL AUT.,Pick-up,8
8,HYUNDAI,HYUNDAI HB20S UNIQUE 1.0 FLEX 12V MEC.,Sedã,9
9,GM - CHEVROLET,GM - CHEVROLET COBALT LT 1.4 8V FLEXPOWER/ECONOFLEX 4P,Sedã,10
10,VW - VOLKSWAGEN,VW - VOLKSWAGEN SENSE 1.0 TSI FLEX 5P AUT.(PCD),SUV,11
11,TOYOTA,TOYOTA COROLLA GLI 1.8 FLEX 16V  AUT.,Sedã,12
12,GM - CHEVROLET,GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,Sedã,13
13,GM - CHEVROLET,GM - CHEVROLET HATCH LT 1.0 12V TB FLEX 5P MEC,Passeio,14
14,AUDI,AUDI Q3 PRESTIGE PLUS 1.4 TFSI FLEX S-TRONIC,SUV,15
15,BMW,BMW 328I/IA (MODELO ANTIGO),Sedã,16
16,GM - CHEVROLET,GM - CHEVROLET TRACKER,,17
17,GM - CHEVROLET,GM - CHEVROLET S10 PICK-UP LTZ 2.8 TDI 4X4 CD DIES.AUT,Pick-up,18
18,VW - VOLKSWAGEN,VW - VOLKSWAGEN T-CROSS HIGHLINE 1.4 TSI FLEX 16V 5P AUT,Passeio,19
19,VW - VOLKSWAGEN,VW - VOLKSWAGEN VIRTUS COMFORT. 200 TSI 1.0 FLEX 12V AUT,Sedã,20
20,TOYOTA,TOYOTA XS CONNECT SEDAN 1.5 FLEX 16V AUT,Sedã,21
21,CITROEN,CITROEN C3 ATTRACTION PURE TECH 1.2 FLEX 12V MEC,Hatch,22
22,FIAT,FIAT UNO VIVACE/RUA 1.0 EVO FIRE FLEX 8V 5P,Hatch,23
23,GM - CHEVROLET,GM - CHEVROLET S10 PICK-UP LT 2.8 TDI 4X4 CD DIESEL AUT,Passeio,24
24,VW - VOLKSWAGEN,VW - VOLKSWAGEN JETTA COMFORTLINE 2.0 T.FLEX 8V 4P TIPT.,Sedã,25
25,FIAT,FIAT PALIO 1.0 ECONOMY FIRE FLEX 8V 4P,Hatch,26
26,HYUNDAI,HYUNDAI HB20 COMFORT PLUS 1.0 TB FLEX 12V MEC.,Hatch,27
27,HYUNDAI,HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V,Hatch,28
28,VW - VOLKSWAGEN,VW - VOLKSWAGEN VOYAGE 1.6/1.6 CITY  MI TOTAL FLEX 8V 4P,Passeio,29
29,GM - CHEVROLET,GM - CHEVROLET ONIX,,30
30,FORD,FORD FUSION SEL 2.3 16V  162CV AUT.,Sedã,31
31,VW - VOLKSWAGEN,VW - VOLKSWAGEN FOX TRENDLINE 1.6 FLEX 8V 5P,Hatch,32
32,FIAT,FIAT ARGO DRIVE 1.0 6V FLEX,Hatch,33
33,RENAULT,RENAULT SANDERO EXPRESSION HI-FLEX 1.0 16V 5P,Hatch,34
34,GM - CHEVROLET,GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,Hatch,35
35,VW - VOLKSWAGEN,VW - VOLKSWAGEN FOX 1.0 MI TOTAL FLEX 8V 5P,Hatch,36
36,VW - VOLKSWAGEN,VW - VOLKSWAGEN VIRTUS 1.6 MSI FLEX 16V 4P AUT.,Sedã,37
37,FIAT,FIAT SIENA EL 1.0 MPI FIRE FLEX 8V 4P,Sedã,38
38,GM - CHEVROLET,GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,Sedã,39
39,GM - CHEVROLET,GM - CHEVROLET SEDAN PLUS LT 1.0 12V 4P MEC,Sedã,40
40,TOYOTA,TOYOTA HILUX CD 4X4 2.8 DIESEL MEC.,SUV,41
41,FIAT,FIAT SIENA EL 1.4 MPI FIRE FLEX 8V 4P,Sedã,42
42,FIAT,FIAT STRADA FREEDOM 1.4 FLEX 8V CD,Pick-up,43
43,FIAT,FIAT TORO ENDURENCE 1.8 16V FLEX AUT.,Pick-up,44
44,FIAT,FIAT FREEMONT 2.4 16V 5P AUT.,SUV,45
45,VW - VOLKSWAGEN,VW - VOLKSWAGEN GOLF SPORTLINE 1.6 MI TOTAL FLEX 8V 4P,Hatch,46
46,HONDA,HONDA FIT LX 1.4/ 1.4 FLEX 8V/16V 5P AUT.,Hatch,47
47,FIAT,FIAT TORO FREEDOM 1.8 16V FLEX AUT.,Van/Utilitário,48
48,FIAT,FIAT TORO VOLCANO 1.3 T270 4X2 FLEX AUT,Pick-up,49
49,TOYOTA,TOYOTA COROLLA ALTIS 2.0 FLEX 16V AUT.,Passeio,50
50,2021,,20000,51
51,TOYOTA,TOYOTA HILUX CD LIMITED 4X4 3.0 TDI DIESEL AUT.,Pick-up,52
52,FIAT,FIAT PALIO CELEBRATION 1.0 FIRE FLEX 8V 4P,Hatch,53
53,VW - VOLKSWAGEN,VW - VOLKSWAGEN SAVEIRO 1.8 MI,Van/Utilitário,54
54,TOYOTA,TOYOTA COROLLA,,55
55,RENAULT,RENAULT SANDERO AUTHENTIQUE HI-FLEX 1.0 16V 5P,,56
56,PEUGEOT,PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,SUV,57
57,HONDA,HONDA WR-V EX 1.5 FLEXONE 16V 5P AUT.,Hatch,58
58,JEEP,JEEP RENEGADE,,59
59,KIA MOTORS,KIA MOTORS SPORTAGE LX 2.0 16V/ 2.0 16V FLEX  AUT.,SUV,60
60,FORD,FORD ECOSPORT SE 1.5 12V FLEX 5P AUT.,SUV,61
61,JEEP,JEEP GRAND CHEROKEE LIMITED 3.0 TB DIES. AUT,Pick-up,62
62,VW - VOLKSWAGEN,VW - VOLKSWAGEN GOL 1.0 PLUS 8V 4P,Hatch,63
63,HYUNDAI,HYUNDAI HB20 PREMIUM 1.6 FLEX 16V MEC.,Hatch,64
64,FIAT,FIAT DUCATO CARGO CURTO 2.3 16V DIESEL,Van/Utilitário,65
65,GM - CHEVROLET,GM - CHEVROLET CELTA LIFE 1.0 MPFI VHC 8V 3P,Hatch,66
66,MITSUBISHI,MITSUBISHI L200 2.5 4X4 CD TURBO DIESEL,Pick-up,67
67,SUZUKI,SUZUKI GRAND VITARA 2.0 16V 4X2/4X4 5P AUT.,SUV,68
68,GM - CHEVROLET,GM - CHEVROLET SPIN,,69
69,FORD,FORD FIESTA PERSONNALITE 1.0 8V 66CV 5P,Hatch,70
70,HYUNDAI,HYUNDAI CRETA PRESTIGE 2.0 16V FLEX AUT.,SUV,71
71,FORD,FORD KA 1.0 8V/1.0 8V ST FLEX 3P,Hatch,72
72,RENAULT,RENAULT DUSTER OROCH EXPRESS 1.6 FLEX 16V MEC.,Pick-up,73
73,FIAT,FIAT GRAND SIENA TETRAFUEL 1.4 EVO F. FLEX 8V,Sedã,74
74,GM - CHEVROLET,GM - CHEVROLET PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P,Passeio,75
75,HONDA,HONDA HR-V EX 1.8 FLEXONE 16V 5P AUT.,SUV,76
76,VW - VOLKSWAGEN,VW - VOLKSWAGEN JETTA GLI 350 TSI 2.0 16V 4P AUT.,Sedã,77
77,FORD,FORD RANGER XLT 3.2 20V 4X4 CD DIESEL,Pick-up,78
78,RENAULT,RENAULT CAPTUR LIFE 1.6 16V FLEX 5P AUT.(PCD),SUV,79
79,FIAT,FIAT GRAND SIENA ATTRAC. 1.4 EVO F.FLEX 8V,Passeio,80
80,GM - CHEVROLET,GM - CHEVROLET S10 P-UP H.COUNTRY 2.8 4X4 CD DIES.AUT.,Pick-up,81
81,VW - VOLKSWAGEN,VW - VOLKSWAGEN FOX 1.0 MI TOTAL FLEX 8V 3P,Hatch,82
82,TOYOTA,TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,Sedã,83
83,VW - VOLKSWAGEN,VW - VOLKSWAGEN POLO 1.6 MSI TOTAL FLEX 16V 5P AUT,Hatch,84
84,HYUNDAI,HYUNDAI I30 2.0 16V 145CV 5P AUT.,Hatch,85
85,FORD,FORD ECOSPORT FREESTYLE 1.6 16V FLEX 5P,SUV,86
86,VW - VOLKSWAGEN,VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,Hatch,87
87,GM - CHEVROLET,GM - CHEVROLET HATCH PREM. 1.0 12V TB FLEX 5P AUT,Sedã,88
88,TOYOTA,TOYOTA YARIS XS 1.5 FLEX 16V 5P AUT.,Hatch,89
89,VW - VOLKSWAGEN,VW - VOLKSWAGEN FOX PRIME/HIGLI. 1.6 TOTAL FLEX 8V 5P,Hatch,90
90,VW - VOLKSWAGEN,VW - VOLKSWAGEN UP! TAKE 1.0 TOTAL FLEX 12V 5P,Hatch,91
91,VW - VOLKSWAGEN,VW - VOLKSWAGEN FUSCA,,92
92,MITSUBISHI,MITSUBISHI OUTLANDER 3.0/ GT 3.0 V6 AUT.,Passeio,93
93,VW - VOLKSWAGEN,VW - VOLKSWAGEN AMAROK CD2.0 16V/S CD2.0 16V TDI 4X4 DIE,Pick-up,94
94,HYUNDAI,HYUNDAI HB20 UNIQUE 1.0 FLEX 12V MEC.,Passeio,95
95,TOYOTA,TOYOTA HILUX SW4 SRX 4X4 2.8 TDI 16V DIES. AUT.,SUV,96
96,GM - CHEVROLET,GM - CHEVROLET CORSA WIND 1.0 MPFI / EFI  2P,Hatch,97
97,VW - VOLKSWAGEN,VW - VOLKSWAGEN GOL CITY 1.0 TOTAL FLEX 12V 4P,Hatch,98
98,VW - VOLKSWAGEN,VW - VOLKSWAGEN GOL 1.0 FLEX 12V 5P,Hatch,99
99,HONDA,HONDA CR-V EXL 2.0 16V 4WD/2.0 FLEXONE AUT.,SUV,100
100,FIAT,FIAT PALIO ATTRACTIVE 1.0 EVO FIRE FLEX 8V 5P,Hatch,101
101,RENAULT,RENAULT CLIO SEDAN EGEUS HI-FLEX 1.0 16V 4P,Sedã,102
102,VW - VOLKSWAGEN,VW - VOLKSWAGEN JETTA COMFORT. 250 TSI 1.4 FLEX 16V AUT.,Passeio,103
103,FORD,FORD FIESTA 1.5 16V FLEX MEC. 5P,Hatch,104
104,VOLVO,VOLVO XC 60 D-5 MOMENTUM 2.0 AWD DIESEL 5P,SUV,105
105,TOYOTA,TOYOTA ETIOS XLS SEDAN 1.5 FLEX 16V 4P AUT.,Sedã,106
106,HYUNDAI,HYUNDAI HB20S VISION 1.6 FLEX 16V AUT,Passeio,107
107,VW - VOLKSWAGEN,VW - VOLKSWAGEN GOL 1.0 PLUS 8V 2P,Passeio,108
108,FORD,FORD KA 1.0 SE/SE PLUS TIVCT FLEX 5P,Hatch,109
109,CHERY,CHERY TIGGO 8 TXS 1.6 TURBO TGDI AUT,Passeio,110
110,GM - CHEVROLET,GM - CHEVROLET CLASSIC,,111
111,FORD,FORD KA 1.0 SEL TIVCT FLEX 5P,Passeio,112
112,TOYOTA,TOYOTA HILUX SW4 4X4 2.8 DIESEL,SUV,113
113,FIAT,FIAT SIENA CELEBRATION 1.0 FIRE FLEX 8V 4P,Passeio,114
114,VOLVO,VOLVO XC-90,Passeio,115
115,PEUGEOT,PEUGEOT 208 ACTIVE 1.2 FLEX 12V 5P MEC.,,116
116,FORD,FORD KA TRAIL 1.0 12V FLEX MEC. 5P,Hatch,117
117,TOYOTA,TOYOTA HILUX CD SRV 4X4 2.7 FLEX 16V AUT.,Pick-up,118
118,NISSAN,NISSAN KICKS SENSE 1.6 16V FLEX AUT,SUV,119
119,VW - VOLKSWAGEN,VW - VOLKSWAGEN VOLKSWAGEN UP MPI 1.0 12V FLEX MAN.,Passeio,120
120,FIAT,FIAT TORO FREEDOM 2.0 16V 4X4 DIESEL AUT.,Pick-up,121
121,VW - VOLKSWAGEN,VW - VOLKSWAGEN TIGUAN,Passeio,122
122,NISSAN,NISSAN LIVINA X-GEAR SL/X-GEAR 1.8 FLEX F. AUT.,Sedã,123
123,MITSUBISHI,MITSUBISHI LANCER GT 2.0 16V 160CV AUT.,Sedã,124
124,NISSAN,NISSAN SV 2.0 16V CVT (FLEX),Sedã,125
125,TOYOTA,TOYOTA HILUX CD SRV D4-D 4X4 3.0 TDI DIESEL AUT,Pick-up,126
126,FIAT,FIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CD,Pick-up,127
127,HONDA,HONDA HR-V TOURING 1.5 TB 16V 5P AUT.,SUV,128
128,KIA MOTORS,KIA MOTORS SPORTAGE EX 2.0 16V/ 2.0 16V FLEX AUT.,SUV,129
129,GM - CHEVROLET,GM - CHEVROLET CRUZE LT 1.4 16V TURBO FLEX 4P AUT.,Sedã,130
130,BMW,BMW X3 XDRIVE 30E TURBO HÍBRIDO AUT,Passeio,131
131,VW - VOLKSWAGEN,VW - VOLKSWAGEN GOL 1.6 MI/ 1.6I 2P,Passeio,132
132,RENAULT,RENAULT KWID 1.0 ZEN,Passeio,133
133,MERCEDES-BENZ,MERCEDES-BENZ GLA 200 NIGHT 1.6. TB 16V FLEX AUT.,Passeio,134
134,FIAT,FIAT DOBLO ADV.EXT./ADV.EXT.LOC. 1.8 16V FLEX,Van/Utilitário,135
135,FIAT,FIAT STRADA CELEB. 1.4 MPI FIRE FLEX 8V CE,Van/Utilitário,136
136,FIAT,FIAT MOBI LIKE 1.0 FIRE FLEX 5P.,Hatch,137
137,AUDI,AUDI Q5 PRESTIGE PLUS 2.0 TFSI QUAT. S TRONIC,SUV,138
138,FIAT,FIAT PUNTO ATTRACTIVE ITALIA 1.4 F.FLEX 8V 5P,Hatch,139
139,GM - CHEVROLET,GM - CHEVROLET TRACKER LTZ 1.8 16V FLEX 4X2 AUT.,SUV,140
140,HONDA,HONDA CIVIC SEDAN LXS 1.8/1.8 FLEX 16V AUT. 4P,Sedã,141
141,BMW,BMW 325IA,Sedã,142
142,VW - VOLKSWAGEN,VW - VOLKSWAGEN KOMBI LOTAÇÃO 1.4 MI TOTAL FLEX 8V,Van/Utilitário,143
143,GM - CHEVROLET,GM - CHEVROLET ONIX SED. PLUS PREM. 1.0 12V TB FLEX AUT,Sedã,144
144,JEEP,JEEP COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.,SUV,145
145,VW - VOLKSWAGEN,VW - VOLKSWAGEN POLO COMFORT. 200 TSI 1.0 FLEX 12V AUT.,Hatch,146
146,GURGEL,GURGEL X12,Buggy,147
147,GM - CHEVROLET,GM - CHEVROLET CORSA SED CLASS.LIFE 1.0/1.0 FLEXPOWER,Sedã,148
148,NISSAN,NISSAN MARCH SV 1.6 16V FLEXSTART 5P MEC.,Hatch,149
149,FIAT,FIAT PALIO ELX 1.0 MPI FIRE 16V 4P (25 ANOS),Hatch,150
150,VW - VOLKSWAGEN,VW - VOLKSWAGEN AMAROK HIGH.CD 2.0 16V TDI 4X4 DIES. AUT,Pick-up,151
151,MITSUBISHI,MITSUBISHI L200 TRITON HPE 3.2 CD TB INT.DIESEL AUT,Pick-up,152
152,CITROEN,CITROEN AIRCROSS EXCLUSIVE 1.6 FLEX 16V 5P AUT.,Hatch,153
153,GM - CHEVROLET,GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P,Sedã,154
154,TOYOTA,TOYOTA ETIOS X SEDAN 1.5 FLEX 16V 4P MEC.,Sedã,155
155,RENAULT,RENAULT SANDERO RS RACING SPIRIT FLEX 2.0 16V 5P,Passeio,156
156,VW - VOLKSWAGEN,VW - VOLKSWAGEN GOL,,157
157,VW - VOLKSWAGEN,VW - VOLKSWAGEN VIRTUS 1.6 MSI FLEX 16V 5P MEC.,Passeio,158
158,FORD,FORD FIESTA SUPERCHARGER 1.0 8V 95CV 5P,Sedã,159
159,FIAT,FIAT UNO ATTRACTIVE 1.0 EVO FIRE FLEX 8V 5P,Hatch,160
160,MAZDA,MAZDA MX-5 MEC,Sedã,161
161,GM - CHEVROLET,GM - CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P MEC.,Passeio,162
162,FORD,FORD KA+ SEDAN 1.0 TIVCT FLEX 4P,Sedã,163
163,GM - CHEVROLET,GM - CHEVROLET PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P AUT.,Sedã,164
164,HYUNDAI,HYUNDAI IX35,,165
165,VW - VOLKSWAGEN,VW - VOLKSWAGEN GOL 1.0 TREND/ POWER 8V 4P,Hatch,166
166,GM - CHEVROLET,GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P AUT.,Sedã,167
167,FIAT,FIAT PALIO EX 1.0 MPI FIRE 8V 4P,Hatch,168
168,VW - VOLKSWAGEN,VW - VOLKSWAGEN NIVUS HIGHLINE 1.0 200 TSI FLEX AUT,SUV,169
169,FIAT,FIAT TORO VOLCANO 2.0 16V 4X4 TB DIESEL AUT.,Pick-up,170
170,HONDA,HONDA HR-V EXL 1.8 FLEXONE 16V 5P AUT.,,171
171,FORD,FORD KA,,172
172,FORD,FORD KA 1.0 SE 12V FLEX 4P MANUAL,Hatch,173
173,VW - VOLKSWAGEN,VW - VOLKSWAGEN FOX,Hatch,174
174,GM - CHEVROLET,GM - CHEVROLET COBALT LS 1.4 8V FLEXPOWER 4P,Sedã,175
175,HYUNDAI,HYUNDAI HB20 EVOLUTION 1.0 FLEX 12V MEC,Hatch,176
176,FIAT,FIAT UNO SPORTING 1.4 EVO FIRE FLEX 8V 4P,Hatch,177
177,FIAT,FIAT UNO FURGÃO 1.0 FIRE FLEX 8V 3P,Van/Utilitário,178
178,FIAT,FIAT DOBLO ESSENCE 1.8 FLEX 16V 5P,Passeio,179
179,GM - CHEVROLET,GM - CHEVROLET CELTA,,180
180,HONDA,HONDA CIVIC SEDAN EXL 2.0 FLEX 16V AUT.4P,Sedã,181
181,GM - CHEVROLET,GM - CHEVROLET CRUZE LTZ 1.4 16V TURBO FLEX 4P AUT.,Sedã,182
182,FORD,FORD FIESTA,,183
183,VW - VOLKSWAGEN,VW - VOLKSWAGEN FOX RUN 1.6 FLEX 8V 5P,Passeio,184
184,GM - CHEVROLET,GM - CHEVROLET SPIN LTZ 1.8 8V ECONO.FLEX 5P MEC.,Passeio,185
185,HYUNDAI,HYUNDAI AZERA 3.0 V6 24V 4P AUT.,Sedã,186
186,MITSUBISHI,MITSUBISHI PAJERO TR4 2.0/ 2.0 FLEX 16V 4X4 MEC.,Pick-up,187
187,GM - CHEVROLET,GM - CHEVROLET CORSA WIND 1.0 MPF/MILLENIUMI/ EFI 4P,Sedã,188
188,FIAT,FIAT MOBI WAY 1.0 FIRE FLEX 5P.,Hatch,189
189,GM - CHEVROLET,GM - CHEVROLET COBALT ELITE 1.8 8V ECONO.FLEX 4P AUT.,Sedã,190
190,GM - CHEVROLET,GM - CHEVROLET CORSA,Hatch,191
191,GM - CHEVROLET,GM - CHEVROLET HATCH LT 1.0 12V FLEX 5P MEC,,192
192,FIAT,FIAT SIENA ATTRACTIVE 1.4 FIRE FLEX 8V 4P,Sedã,193
193,JEEP,JEEP CHEROKEE,SUV,194
194,HONDA,HONDA CIVIC SEDAN LXR 2.0 FLEXONE 16V AUT. 4P,Sedã,195
195,FORD,FORD RANGER XLS 2.2 4X2 CD DIESEL AUT.,Pick-up,196
196,HYUNDAI,HYUNDAI HB20,,197
197,TROLLER,TROLLER TX4 4X4 3.2 20V CAP.RÍG DIESEL AUT,Passeio,198
198,MITSUBISHI,MITSUBISHI PAJERO TR4 2.0/ 2.0 FLEX 16V 4X4 AUT.,SUV,199
199,GM - CHEVROLET,GM - CHEVROLET S10 PICK-UP RODEIO 2.8 TDI 4X4 CD DIES.,Sedã,200
200,TOYOTA,TOYOTA HILUX SW4 SRV D4-D 4X4 3.0 TDI DIES. AUT,SUV,201
201,HYUNDAI,HYUNDAI SANTA FE GLS 2.7 V6 4X4TIPTRONIC,SUV,202
202,BMW,BMW X5 XDRIVE 30D 3.0 258CV DIESEL,SUV,203
203,RENAULT,RENAULT KWID ZEN 1.0 FLEX 12V 5P MEC.,Hatch,204
204,RENAULT,RENAULT LOGAN AUTHENTIQUE HI-FLEX 1.0 16V 4P,Sedã,205
205,MITSUBISHI,MITSUBISHI PAJERO,,206
206,GM - CHEVROLET,GM - CHEVROLET ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,Hatch,207
207,FIAT,FIAT DUCATO MINIBUS 2.3 ME DIESEL,Van/Utilitário,208
208,VW - VOLKSWAGEN,VW - VOLKSWAGEN SAVEIRO 1.6 MI TOTAL FLEX 8V CE,Pick-up,209
